"Name","Short Name","Description","Types","Latitude","Longitude"
GC16-01,GC16-01,point,"Point Count Point",39.146294614294,-121.20528659661
GC16-02,GC16-02,point,"Point Count Point",39.148546288668,-121.20522939292
GC16-03,GC16-03,point,"Point Count Point",39.151105230915,-121.20515519005
GC16-04,GC16-04,point,"Point Count Point",39.146250037557,-121.20239494445
GC16-05,GC16-05,point,"Point Count Point",39.148501708376,-121.20233764871
GC17-01,GC17-01,point,"Point Count Point",39.155565803682,-121.20601971598
GC17-02,GC17-02,point,"Point Count Point",39.157929618871,-121.20596885397
GC17-03,GC17-03,point,"Point Count Point",39.153282167634,-121.20369291321
GC17-04,GC17-04,point,"Point Count Point",39.155535791798,-121.20280397214
GC17-05,GC17-05,point,"Point Count Point",39.157935586039,-121.20295295683
GC99-01,GC99-01,point,"Point Count Point",39.130811921377,-121.19399899725
GC99-02,GC99-02,point,"Point Count Point",39.135423882986,-121.19695445988
GC99-03,GC99-03,point,"Point Count Point",39.13786876344,-121.19644209113
GC99-04,GC99-04,point,"Point Count Point",39.133093770277,-121.19402462599
GC99-05,GC99-05,point,"Point Count Point",39.135368866472,-121.19401761147
GLE-15-28,GLE-15-28,polygon,"Study Area",39.536433785932,-122.5861668311
TCUP,TCUP,point,"Point Count Transect",39.511488787827,-122.57686271419
TCUP-01,TCUP-01,point,"Point Count Point",39.511488787827,-122.57686271419
TCUP-02,TCUP-02,point,"Point Count Point",39.567885506597,-122.59980416548
TCUP-03,TCUP-03,point,"Point Count Point",39.529561439639,-122.59129755507
TCUP-04,TCUP-04,point,"Point Count Point",39.534035576854,-122.58254404713
TCUP-05,TCUP-05,point,"Point Count Point",39.554339727025,-122.59115219147
TCUP-06,TCUP-06,point,"Point Count Point",39.554319109159,-122.5853324359
TCUP-07,TCUP-07,point,"Point Count Point",39.543127132117,-122.60576535083
TCUP-08,TCUP-08,point,"Point Count Point",39.538551131883,-122.58542627774
TCUP-09,TCUP-09,point,"Point Count Point",39.547622374741,-122.6028302537
TCUP-10,TCUP-10,point,"Point Count Point",39.547550994167,-122.5824630696
TCUP-11,TCUP-11,point,"Point Count Point",39.545329453013,-122.59120507174
TCUP-12,TCUP-12,point,"Point Count Point",39.547571752777,-122.58828225763
TCUP-13,TCUP-13,point,"Point Count Point",39.534086902632,-122.59708920714
TCUP-14,TCUP-14,point,"Point Count Point",39.531793414146,-122.58546647309
